GCMS	1,3-Dihydroxyacetone	1,6-Diaminohexane	2-Aminoadipic_acid	2-Hydroxy-3-methylbutyric_acid	2-hydroxybutyric_acid	2-hydroxyglutaric_acid	2-Hydroxyisocaproic_acid	2-hydroxypyridine	2-ketoisocaproic_acid	3-(3-hydroxyphenyl)propionic_acid	3,4-Dihydroxyhydrocinnamic_acid	3,4-Dihydroxyphenylacetic_Acid	3-Hydroxybutyric_acid	3-indoleacetic_acid	4-Aminobutanoic_acid	4-hydroxyphenylacetic_acid	5-aminovaleric_acid	5-Hydroxyhexanoic_acid_	5-hydroxyindole-3-acetic_acid	6-hydroxynicotinic_acid	adenine	adenosine	Aminomalonic_acid	Azelaic_acid	Benzoic_Acid	Beta-_alanine	Cadaverine	Caffeic_acid	caprylic_acid	Cyclohexanecarboxylic_acid	D-(+)_trehalose	Deoxycholic_Acid	D-Glucose	D-Malic_acid	D-mannitol	D-Ribose	Ethanolamine	fumaric_acid	galacturonic_acid	gentisic_acid	Glutaric_acid	glyceric_acid	glycerol	glycerol_1-phosphate	Glycine	glycolic_acid	Guanine	Heptanoic_acid	hydrocinnamic_acid	Hypoxanthine	inosine	Inositol,_myo	L-(-)-fucose	L-alanine	L-Aspartic_acid	L-Cysteine	L-Glutamic_acid	L-glutamine	L-homoserine	L-isoleucine	L-lactic_acid	L-Leucine	L-Lysine	L-methionine	L-Ornithine	L-Phenylalanine	l-Proline	L-serine	L-threonine	L-tryptophan	L-tyrosine	L-valine	maleic_acid	methyl-beta-D-galactopyranoside	Methylphosphoric_acid	Methylsuccinic_acid	N-acetyl-D-glucosamine	N-acetyl-L-glutamic_acid	Nicotinic_acid	palmitic_acid	pantothenic_acid	p-cresol	Pentanoic_acid	phenyl-beta-glucopyranoside	phosphate	pipecolic_acid	putrescine	Pyruvic_acid	quinic_acid	Rhamnose	spermidine	stearic_acid	Succinic_acid	thymine	trans-4-Hydroxycyclohexanecarboxylic_acid	Tricarballylic_acid	uracil	uric_acid	Xanthine
sample-008	1.245560186	0.0	2.174439312	0.0	0.435815063	2.159512619	0.0	1.183241761	0.0	0.043352499	0.562060991	0.084777506	1.161978917	0.0	1.29985071	6.017328377	0.834104986	0.0	0.304326968	0.0	2.736829967	2.212354664	0.78885429	0.0	0.712896368	2.120650567	0.0	1.463796947	4.553081144	1.098187723	0.0	1.952504072	0.900105862	1.287832525	0.0	1.001983575	0.352061803	0.901028667	1.939487807	1.256034491	0.629992993	6.452145474	0.946435311	1.194170645	0.647389926	1.710039533	1.028316881	0.0	0.549782043	1.206938323	1.193752255	0.437562267	0.0	0.696332477	2.016414966	2.939147186	2.877821838	1.194401176	0.814020594	0.424874004	2.307585502	0.365060565	1.194634821	0.0	0.0	1.427031583	0.0	1.255128889	0.824457013	0.0	0.719882084	0.90171338	0.867857484	1.339040187	10.42532339	0.833929304	2.666861853	0.0	1.122789097	1.929259816	0.732659969	0.642449413	1.012142222	2.251357329	9.68950319	0.836574586	0.0	1.184003205	4.506783179	2.871438151	0.0	1.958615906	0.21240188	0.819066215	0.494119089	1.849528268	0.747912405	0.942411124	0.61959575
sample-009	0.0	1.971224096	2.502034819	0.0	0.0	3.35909251	0.0	1.12826431	0.0	12.95519861	90.09783252	7.535058691	0.666161112	0.0	0.682252918	3.305840344	11.24064729	0.0	0.273007124	0.0	1.314208592	0.697474628	0.658177907	0.0	0.540792657	0.756586682	2.705394645	3.656435774	0.0	1.170568568	0.0	0.0	2.23955983	3.909097757	0.0	1.530129991	0.512182868	4.176632486	0.618821423	2.585808532	0.540611911	1.237967519	0.538566819	0.767796353	0.577829588	1.362999021	1.005888902	0.0	0.058861082	1.931155485	2.129547306	0.0	0.0	0.967430335	1.41224785	3.04055694	1.154380052	0.0	0.0	1.074874667	0.971090224	1.53932641	1.400545738	0.592363374	0.0	2.704976389	2.279267998	0.828306828	0.725137427	0.0	0.041231736	2.279583846	1.724221054	2.286699972	1.621293106	0.993356147	0.0	0.0	1.905177481	2.091201663	1.790304713	0.317513856	0.134691254	2.49370154	4.266848309	1.814523321	0.126734903	2.976243122	14.37154023	0.787966522	1.732159106	2.235771776	0.444927245	1.173805869	0.0	0.687816544	0.90882264	3.273689369	1.781071665
sample-010	2.339439923	0.547668095	0.93494461	0.275486626	1.298235212	0.240534254	0.72094149	1.040433201	2.385509649	0.015502245	0.0	0.0	0.832855059	0.483418208	0.47143722	1.990333543	0.156505027	0.581954476	0.0	0.0	0.263998343	0.0	3.225162926	0.0	0.736396496	0.968594956	0.038187943	1.327228418	0.0	0.48798684	0.0	0.55532308	2.087823065	2.702118151	0.0	2.741887052	2.778698069	1.178105691	0.557880799	1.089408312	0.776444791	1.085258304	0.646807051	0.644443233	1.701676971	1.226551832	1.25657123	0.029672066	1.765966338	0.854619915	0.346021008	1.208522316	1.490585605	2.350802947	1.304949611	1.704515855	1.110770269	1.414274407	1.139951862	3.513091779	0.784076701	2.650473644	2.048088223	2.327572653	1.166178425	2.381031966	2.186381393	2.723085858	2.211034321	0.702095886	1.856649378	2.242315947	1.912129599	1.101897948	0.05642039	1.65844339	3.512253674	0.784525571	1.1895536	1.828538861	1.229323074	3.931692985	1.393387204	1.164538039	0.749188288	1.426495056	0.612021217	1.537450465	0.0	1.219867834	2.732462174	1.195109628	0.009835353	4.337442042	0.0	0.092295701	3.622964582	3.659850335	2.443117659
sample-011	2.425661737	0.0	0.0	13.13321443	5.269545708	4.006894145	15.41944413	0.746199561	2.736191046	0.038813513	0.0	0.0	0.775725908	0.915881697	2.284217904	0.487829573	1.329728576	0.694085279	0.0	0.0	0.700436154	0.0	6.66721306	0.0	0.268544929	1.921323254	0.0	0.674406465	0.0	0.828554578	0.0	0.053787982	0.155825871	1.223592442	0.183634972	0.752272916	0.444637085	0.662861064	0.946552974	1.041004096	1.904488918	0.822808143	1.929918854	0.0	2.654673942	1.34023083	0.0	0.696033992	1.7445145	0.201703653	0.0	0.483885237	0.0	2.53500275	0.767883666	1.166831081	0.518666007	0.0	2.384623881	2.344776221	16.93068895	1.094150373	0.935769709	1.16240548	3.952662666	1.519304865	0.356278336	1.270310561	3.230495453	0.141321746	1.175641814	2.508282268	1.676686046	0.027045415	0.911459838	0.494830469	0.245705538	0.0	0.879499253	1.477279552	0.712859541	0.528184398	1.065037135	0.700996786	0.0	8.804473471	0.0	0.931049841	0.460468711	0.339074392	0.0	1.557876079	10.83574819	1.745087414	0.0	0.305441002	2.89212831	0.255142978	1.484433949
sample-012	2.926351925	0.0	6.38088536	1.760378349	3.012348934	2.145802416	4.116240768	2.061818804	2.859920736	0.016744914	0.0	0.0	1.929027102	4.700818236	0.478527445	0.0	0.595738127	1.676658221	0.355548949	0.0	3.76568119	0.553051785	25.15432123	0.0	0.557901365	4.425797761	0.0	0.586256084	0.0	0.600266238	0.0	3.173620472	1.094398741	6.045953181	0.507725682	4.139881291	3.938045001	1.627065367	1.955778984	4.327304603	3.824602384	3.565063647	1.228451485	4.796421412	0.530511547	1.95039143	5.374097861	0.646704786	2.323936188	4.35048664	0.97869025	3.701455783	2.989208849	3.973210764	3.758341913	3.499409114	2.187852736	2.731042873	3.727365429	5.87669116	1.342546996	4.312179892	3.957770499	3.163338809	12.24845044	5.027922535	4.420478145	3.388167314	4.582785396	3.180380264	3.445181588	4.499149676	1.964829777	1.552508408	0.0	1.770260825	4.9303458	1.580887961	3.681828348	1.699380001	7.592339571	3.740888999	1.839149613	0.0	0.0	3.724282325	0.427413468	1.990697103	0.0	1.406252389	2.109596288	1.924566178	0.118450161	3.833646974	0.0	1.190095976	11.41492771	1.139056057	15.59032111
sample-013	0.0	0.0	0.670777265	0.0	0.0	0.072699837	0.0	0.743679834	0.0	0.040982199	0.133636132	0.0	3.180124163	1.699613963	0.432439501	0.728042679	0.284767642	1.819236664	2.076598781	0.0	2.622328658	1.204900442	2.245177738	1.241853377	0.275455395	1.312292376	0.030353448	1.450472616	0.335174338	0.0	0.0	0.341619508	0.210795022	0.251049047	0.0	0.724388386	0.158514595	1.093733685	0.0	0.161321377	2.092892996	1.055472219	0.589926016	0.977971567	0.605467662	0.683422691	0.719234605	1.285320563	1.879179034	0.921573612	1.052170704	0.873826135	0.0	0.496421124	0.685944242	1.127340775	0.606019281	0.874260851	1.002247123	0.401648595	0.768837281	0.284038651	0.87106328	0.353862821	0.733177068	0.293751489	0.278053231	0.750862777	0.754620199	0.371693925	0.451945714	0.285668149	1.626387501	0.218769803	5.343849726	1.553613511	0.069628179	0.0	1.017743359	1.627849165	0.884669241	2.802096981	1.206382248	0.786840688	0.0	0.081317907	0.21630633	0.808299996	0.196794679	0.0	0.37982146	1.605096454	0.4257341	0.677545123	0.0	0.477358525	0.980404208	0.192829734	0.487215058
sample-014	2.780986276	0.0	0.247558388	1.160695479	0.0	0.902067556	0.0	0.765275488	0.0	0.491910707	0.173270812	1.114280069	2.230901622	0.889160377	0.603299106	1.12347068	0.563725417	2.477245564	5.042875304	0.0	0.669366716	0.638834368	1.965571116	1.634092045	0.592464594	0.652810148	0.0	1.068873764	5.883767881	0.0	0.0	0.39726012	1.493996759	0.550197792	1.268269405	1.340475005	0.539908525	0.752218874	2.042258061	0.254880738	0.414123339	1.371936249	2.318488577	0.539373615	0.812721534	0.9661717	0.159110258	4.256130926	1.524169656	0.390361091	1.064284581	0.661232232	1.725593436	0.880197751	1.34632053	1.294832604	0.809573787	0.0	2.957109949	0.590645159	2.324376658	0.267505593	1.028323567	0.40138978	1.550028072	0.344550322	0.682580574	0.706140744	0.860822602	0.536254583	0.425013257	0.601737576	0.968380129	1.717508141	1.901690044	1.621133304	0.908853151	1.178067366	1.13809971	1.831868653	0.798802624	0.445035194	1.290204836	0.753976951	0.0	0.06117866	0.0	1.461372545	0.142133146	0.397281748	0.802162626	1.53020646	3.240562849	0.449188475	0.139476633	0.46830667	0.840414627	0.205299553	0.528168276
sample-015	1.892530167	0.949064676	0.0	0.0	0.0	1.047708145	0.0	1.184012392	0.825838089	0.019171602	0.279828768	0.0	2.09431202	0.695890896	0.0	0.638773505	0.60981816	1.564419471	0.0	1.120136179	0.759354084	0.204583577	2.095060635	2.756631844	3.682717068	1.189332715	0.0	0.78620054	0.0	0.149912818	0.0	0.938804062	0.235321645	0.583408375	0.0	1.727368531	0.964719754	0.968648605	0.358661163	0.222043241	0.09935308	0.62920003	1.688549215	2.072223896	0.880003603	0.879351809	2.880533103	1.04798417	1.416479667	1.331173119	0.801595101	0.411654556	1.08476517	0.722795102	0.994162807	2.40830569	1.507816596	0.840960604	2.084723624	0.535289703	0.558116216	0.564251369	0.870411671	1.48773247	1.67922948	0.892952971	0.667873622	1.123126897	1.085585408	0.276219331	0.976866937	0.79339507	0.798318419	0.320750529	3.36350487	0.148786117	0.622499914	0.0	1.338606119	1.789345965	2.184904637	0.86489533	0.864659284	0.0	2.525380939	0.029258141	0.0	0.517984462	0.285268406	0.213885315	0.0	2.019128023	0.059048034	2.135537596	0.0	0.787664216	2.138081526	8.915747453	4.235491909
sample-016	2.020139491	0.844566591	1.099504725	0.0	0.503933841	2.446082941	0.0	0.913122149	0.614521965	0.210811265	0.217537622	0.0	0.7404573	0.683967166	0.352944266	1.166659584	0.290324618	0.0	0.738798699	0.0	1.31915079	0.0	1.674707398	0.251704039	0.41847864	0.470877839	0.062698654	0.230851231	0.768144975	2.36717902	0.065149479	0.45566873	1.535678417	1.308806316	0.0	1.622167551	0.770763553	1.331532029	1.303690864	2.408518831	0.539664331	1.317785498	1.004642404	2.483828006	0.64955723	1.197295898	0.91174819	0.026779431	0.712042688	1.311825262	0.911985881	1.120183983	2.498780634	0.537797433	1.348963902	3.019100192	0.814681593	0.0	0.654988405	0.510361646	0.902547063	0.570779705	0.942845439	0.599993154	1.416280643	0.70903905	0.689813134	0.880188611	0.511895032	0.354924491	0.857325963	0.515779457	0.931445927	0.713576151	7.10465474	0.491288995	0.377486219	0.732421785	1.297423775	1.763418989	0.828622056	0.262703465	0.598265104	0.828083954	3.323169336	0.554425695	0.0	1.115816115	0.88126565	0.36246429	0.67543896	1.632550572	1.152700043	1.182537717	0.0	0.812491542	1.113438478	0.710960164	1.64034835
sample-017	0.391123341	2.826991679	1.59557474	6.464210008	4.490123481	0.255143396	2.663421523	0.491670586	0.922366351	2.555336033	0.666251039	2.409361401	0.228633621	0.0	9.12940859	3.081599756	2.730162977	0.0	0.0	4.34608831	0.0	0.0	3.242598483	0.0	0.203825864	2.022222719	0.077232632	0.0	0.612040311	0.0	0.038958344	4.612341415	2.813301416	0.200984209	0.0	0.833009892	0.276340209	0.30779393	0.802386273	1.259776891	0.251878837	1.149878878	0.294537491	0.376553728	0.48963661	0.996005784	0.0	0.0	0.0263833	0.501193495	0.566393307	0.0	0.94062643	1.145391065	0.348309827	1.339883717	0.459987668	1.176715016	0.412622703	1.051793101	0.515164046	2.059720818	1.698060029	1.643031279	0.0	0.998989824	1.516300303	1.182918209	0.953502321	1.171628713	1.548099459	0.865748944	0.435979896	2.952549118	0.01033282	0.46234268	0.734836332	0.0	1.139612388	2.487018821	0.743797892	2.068821498	0.074477913	1.390005198	0.197098509	0.550744011	1.019673115	0.663523916	1.729751655	0.153418387	0.896388755	1.932603027	0.28016551	0.311084632	40.30548117	0.0	0.374077264	0.504666903	0.41190534
