SCFA	Formic_acid_BHA	Lac	Acetic_acid_BHA	3-Hydroxybutyric_acid_BHA	Propionic_acid_BHA	Isobutyric_acid_BHA	Butyric_acid_BHA	Malate_2BHA	2-Methylbutyric_acid_BHA	Succinate_2BHA	Isovaleric_acid_BHA	Valeric_acid_BHA	Fumarate_2BHA	4-Methylvaleric_acid_BHA	Isocitrate_3BHA	Hexanoic_acid_BHA	Citrate	Aceton_BHA	Heptanoic_acid_BHA	Acetoacetate_2BHA	Aconitate_3BHA	Pyruvate_2BHA	2-Oxoglutarate_3BHA	2-Ketoisovaleric_acid_2BHA	3-Methyl-2-oxopentanoic_acid_BHA	Malondialdehyd_2BHA	4-Methyl-2-oxopentanoic_acid_BHA
sample-008	1.39315004	2.665399257	1.635205539	0.996217891	1.335894448	1.054858365	1.516355385	0.859898376	0.868665501	0.202994987	1.061072249	1.199163466	0.917629202	0.900787243	1.420055016	0.139380789	3.923412442	1.414893229	0.014802843	0.880988554	0.360475935	1.625548047	1.825216077	0.867799525	0.550387127	1.492973155	0.37072206
sample-009	1.333437597	0.731746784	0.891517933	0.660243696	1.127093711	0.875332507	0.925954046	2.21789707	0.801094832	0.508920912	0.972933921	0.198818321	2.976378756	2.075977504	1.858186045	0.036056419	4.024374956	1.552919575	0.01052245	0.941821945	0.685049888	2.59623856	1.190109029	1.425921941	0.916985162	1.666501384	1.088631844
sample-010	0.682890568	0.794585741	1.448446598	0.866831275	1.826764448	2.241412554	1.517984979	4.726638495	2.47743845	0.591669254	2.286400203	1.74306933	1.913414646	44.21047624	0.133751878	0.134318109	0.525148143	1.558011576	0.043563681	1.367675456	0.663735416	1.088451355	1.751954476	4.23711532	2.61859069	1.648685558	2.314893847
sample-011	0.73143161	21.41036583	1.372429861	0.696428534	1.237617437	1.513625355	1.319740788	2.129719211	1.651745174	0.756758608	1.638812614	1.276128867	0.695578055	0.863720547	0.592834663	1.503571064	0.449501495	0.925065737	1.021213573	1.041370764	0.510135157	1.667878198	2.233361373	7.890970927	4.963686645	0.500732261	4.068691791
sample-012	1.338820169	1.197155882	1.712620091	2.987853445	2.107947762	2.380671411	1.859990283	4.612270414	2.755151313	1.283172798	2.601580535	2.197092511	4.226415576	1.587799232	0.32913758	1.696334786	0.113755448	1.897670086	0.938821512	4.087203113	0.570251186	1.228732184	1.743126626	4.991518449	2.806513273	2.196386042	1.812238825
sample-013	0.610171281	0.165180345	1.145573129	3.598748137	1.161383885	1.736252657	1.328978101	0.339547082	1.869358628	0.070446766	2.118274025	1.551135167	0.317393771	0.808314522	0.10471906	2.311069132	0.065244919	1.210451607	1.547758075	3.237426404	0.465026293	0.454063366	0.161154441	0.02887734	0.112413601	1.138091494	0.171959417
sample-014	0.920685259	2.151365177	1.099567131	1.918194634	0.750349196	0.748009134	1.051309248	0.610626565	0.674304529	0.147342174	0.78001311	1.013190003	0.591324314	1.394047679	1.448314007	2.76735227	0.484604287	1.047663457	2.862852202	3.260169312	0.466582879	0.687987313	1.339632152	0.796754795	0.370782082	0.436041738	0.255126417
sample-015	0.637563089	0.339041649	0.687875818	2.417468241	0.633047976	0.840628208	0.810862398	0.410078222	0.873007145	0.228933403	1.010853934	0.710744911	0.416780592	0.493767787	2.619440698	1.217011835	3.030645381	0.923502377	0.792565656	2.89471	0.646598383	0.452345729	0.611032466	1.209596315	0.53512	0.643632977	0.484550026
sample-016	0.684402978	0.60178867	0.77956178	0.661346431	0.641690057	0.659146184	0.726852957	0.810120022	0.611017003	0.405964381	0.691094896	0.583023169	0.873126132	7.116161387	0.100503579	0.032232405	0.371045752	0.768748221	0.00842944	1.159909336	0.368774858	0.493896676	1.26766121	1.243387117	0.615564405	1.303915134	0.698160745
sample-017	0.423657214	0.179190138	0.794506954	0.210046579	0.932194197	0.921528302	0.720861811	0.374916719	1.02692039	0.184193268	1.119003203	0.140987589	0.265114077	0.727573636	1.908535211	0.06535267	0.229487552	0.795497734	0.008976792	0.662537951	0.289986749	0.430044582	0.600993818	0.406558048	0.599090048	0.465086095	0.470100652
